House Description,Price,Bedrooms,Bathrooms,Full Baths,Square Footage,Acres,Year Built,Type,Sub-Type,Style,Address,Area,Community,Condo,City,County,Province,Postal Code,Features,Parking Spaces,Parking,Is Waterfront,Has Pool,Interior,Interior Features,Heating,Fireplace,# of Stories,Has Basement,Basement,Separate Entrance,Exterior,Exterior Features,Construction,Foundation,Elementary,Middle,High,Foreclosure,RE / Bank Owned,Office,Bedrooms Above Grade,# of Garages,Garages,Half Baths,Fireplaces,Zoning,Lot Description,HOA Fees,HOA Fees Freq.,Condo Fee
"Welcome to this lovingly maintained condo in Chelsea Greene featuring FRESH PAINT, NEW CARPET, UNDERGROUND PARKING, 2 bedrooms & 2 baths. A spacious entrance welcomes you in to find a white kitchen offering plenty of cabinets & peninsula island that overlooks the living room bursting with natural light. King sized primary suite boasts dual closets & 3pc ensuite. Second bedroom is generous in size & located on the other side of the living room offering privacy and making it ideal for room mates. 4pc bathroom & laundry compliment the home. Good sized patio with a mature tree out front. 1 UNDERGROUND parking stall with storage PLUS 1 above ground stall. Well managed adult building where small pets are welcomed. Condo fees include HEAT & WATER! This home is move in ready, steps away from transit, shopping & all amenities. This would be the perfect place for first time buyers, students, investors or anyone looking to downsize.","$139,000",2,2.00,2,890,0.00,2007,Condo / Townhouse,Lowrise Apartment,Single Level Apartment,# 107 13625 34 Street Nw,Edmonton,Belmont,Chelsea Greene,Edmonton,ALBERTA,AB,T5A 0E3,"Laundry-In-Suite, Parking-Visitor",,"Stall, Underground",No,No,"Carpet, Linoleum","Dishwasher-Built-In, Dryer, Microwave Hood Cover, Refrigerator, Stove-Electric, Washer, Window Coverings",Hot Water,No,1,No,"No Basement, None",No,"Vinyl, Brick","Playground Nearby, Schools, Shopping Nearby, Public Transportation",Wood Frame,Concrete,,,,No,No,Courtesy Of Megan Mohr Of RE/MAX Elite,2,,,,,,,,,$568
PERFECT FOR A FIRST TIME BUYER!! Welcome to Redwood lodge. This one bedroom unit has DOWNTOWN VIEWS just outside your living room window. The living room is flooded with natural light and has access to the balcony. Just off the living room is the kitchen and dining area. There is a four piece bathroom right next to the primary bedroom. This complex is pet friendly and is just a short drive to downtown!,"$59,900",1,1.00,1,582,0.00,1960,Condo / Townhouse,Lowrise Apartment,Single Level Apartment,# 206 9142 Jasper Avenue Nw,Edmonton,Boyle Street,Redwood Lodge,Edmonton,ALBERTA,AB,T5H 3S9,See Remarks,,Stall,No,No,Hardwood,"Dishwasher-Built-In, Refrigerator, Stove-Electric, Window Coverings",Hot Water,No,1,No,"None, No Basement",No,Wood,"Flat Site, Public Transportation, Shopping Nearby, See Remarks",Wood Frame,Concrete,,,,No,No,Courtesy Of Erin Willman Of RE/MAX Elite,1,,,,,,,,,$328
"Open concept, clever design has 9’ ceilings & modern finishes. Galley Kitchen has plenty of cupboards (pot/pan drawers). 9’ island (raised eating counter). Pantry cupboard adds extra storage. Counter-top stove (BI-oven replaced in 2020/dishwasher in 2021). Huge living room (electric fireplace) has south facing, floor to ceiling window & sliding patio door to 6.2’ x 15.6’ balcony (gas line). Primary bedroom has access to the 4-piece bathroom (deep soaker tub/separate shower). This “cheater” bathroom has a second door leading to living area & 2nd bedroom. Convenient Laundry (stacked W/D). Newer hot water tank. Large opener windows brighten this home year-round. 4th floor home c/w Underground titled parking/storage cage. Comfortable living in this secure, well managed complex with reasonable condo fees & a strong reserve fund. Fantastic location: a short walk to the U of A/Hospital, shopping; close to schools, public transit, River Valley. Offering an ideal and affordable home in the heart of Old Strathcona","$269,500",2,1.00,1,908,0.01,2000,Condo / Townhouse,Lowrise Apartment,Single Level Apartment,# 406 11025 83 Avenue Nw,Edmonton,Garneau,Garneau Gates,Edmonton,ALBERTA,AB,T6G 2V5,"Ceiling 9 ft., Vinyl Windows, Natural Gas BBQ Hookup, Storage Cage, Laundry-In-Suite, Patio, Security Door, Sprinkler System-Fire",1,"Heated, Parkade, Rear Drive Access, Underground",No,No,"Carpet, Ceramic Tile, Laminate Flooring","Dishwasher-Built-In, Oven-Built-In, Refrigerator, Microwave Hood Cover, Stacked Washer/Dryer, Stove-Countertop Electric, Window Coverings, Garage Control",Forced Air-1,Yes,1,No,"No Basement, None",No,Stucco,"Landscaped, Playground Nearby, Public Transportation, Shopping Nearby, Gated Community, Paved Lane",Wood Frame,Concrete,Garneau 0.5KM,McKernan 0.9KM,Strathcona 1.6KM,No,No,Courtesy Of Jo Blumenthal Of Royal LePage Noralta Real Estate,2,,,,"Mantel, Electric",,,,,$364
"Are you looking for Elegance and Affordability in an adult 55+ condo? Then 'The Vanier' is the place for you. PETS are allowed: This place welcomes your small dog (14'' at the shoulder) or cat as they are welcomed here too. Centrally located & close to all amenities & hospital in Glenwood; a mature neighborhood in the west end. The unit itself is like new. Bright, south facing w/ a spacious open concept. Freshly painted throughout. The kitchen has lots of cupboards w/pullouts & even more counter space. It flow's to your spacious dining & living area. With 2 bedrooms & 2 bath's there is plenty of room for yourself & guests when they come to visit. The primary suite has plenty of room for a king size set & comes w/ spacious walk in closet as well as large ensuite. The amenities are extensive w/ computer/games room, card room, exercise room, The large social room can be booked for private functions & there is a guest suite. Heated underground parking as well PLUS a carwash in the underground area!","$189,900",2,2.00,2,"1,024",0.00,2008,Condo / Townhouse,Lowrise Apartment,Single Level Apartment,# 318 9820 165 Street Nw,Edmonton,Glenwood,Vanier The,Edmonton,ALBERTA,AB,T5P 0N3,"Car Wash, Carbon Monoxide Detectors, Ceiling 9 ft., Deck, Detectors Smoke, Exercise Room, Laundry-In-Suite, Parking-Visitor, Party Room, Patio, Programmable Thermostat, Secured Parking",,Underground,No,No,"Carpet, Linoleum","Refrigerator, Stove-Electric, Dishwasher-Built-In, Hood Fan",Fan Coil,No,1,No,"No Basement, None",No,"Brick, Stucco","Backs Onto Park/Trees, Fruit Trees/Shrubs, Landscaped, Picnic Area, Playground Nearby, Public Transportation, Shopping Nearby",Wood Frame,Concrete,,,,No,No,Courtesy Of Dwight Jones Of RE/MAX Excellence,2,,,,,,,,,$653
"Looking to embrace the busing city life yet have the luxury to escape to the trails of the Edmonton river valley? This well-maintained top-floor unit is the perfect space to call home. Start your morning on the spacious patio overlooking the valley's trees or snuggled up by the wood-burning fireplace. Large upgraded vinyl windows elevate the corridor-style kitchen transitioning to an open-concept living and dining area. STORAGE is challenging to find within condominium units; with free common laundry, this unit boasts a generous-sized storage room containing additional shelving. Two bedrooms complete the home, allowing space for owners to grow or work from home.","$134,900",2,1.00,1,841,0.01,1971,Condo / Townhouse,Lowrise Apartment,Single Level Apartment,# 805 10015 119 Street Nw,Edmonton,Oliver,Canterbury Place,Edmonton,ALBERTA,AB,T5K 1Y7,"Deck, Laundry-Common, Laundry-Same Floor, Storage-In-Suite",,Stall,No,No,"Carpet, Ceramic Tile, Laminate Flooring","Dishwasher-Built-In, Refrigerator, Stove-Electric, See Remarks, Hood Fan",Hot Water,No,1,No,"None, No Basement",No,"Stucco, Brick, Concrete","Back Lane, Corner, Flat Site, Landscaped, Level Land, View City, View Downtown",Concrete,Concrete,,,,No,No,Courtesy Of Kalana Capham Of Exp Realty,2,,,,,,,,,$523
"Welcome Home! Ready for you to move in now with ALL the beautiful, modern furnishings included in the price. YES! Fully Furnished! This 1 bdrm, 614 sf condo also makes the perfect Short Term Rental for a Savvy Investor. This stunning condo is situated in the heart of Oliver, one of Edmonton’s most sought-after communities; the recently renovated exterior makes this area the most attractive building. A great location with a high walk score of 83 lets you enjoy a carefree life while building your savings. Walking distance to the River Valley, Royal Glenora Club, Victoria Golf Course, plus most of Edmonton’s best parks. Easy access to MacEwan University, the U of A & the charm of Old Strathcona with an LRT stop just a few blocks away. Jasper Avenue’s shops & restaurants are less than a block away. Don't miss out on one of the best opportunities in downtown Edmonton! Lots of extra added value & it is in an excellent location.","$114,900",1,1.00,1,611,0.00,1971,Condo / Townhouse,Lowrise Apartment,Single Level Apartment,# 407 10145 113 Street Nw,Edmonton,Oliver,Torrey Pines,Edmonton,ALBERTA,AB,T5K 1P1,"Laundry-Common, Security Door",,Stall,No,No,"Laminate Flooring, Linoleum","Refrigerator, Stove-Electric, Window Coverings, Hood Fan",Baseboard,No,1,No,"No Basement, None",No,Hardie Board Siding,"Playground Nearby, Public Swimming Pool, Public Transportation, Schools, Shopping Nearby, See Remarks",Wood Frame,Concrete,,,,No,No,Courtesy Of James Knull Of Exp Realty,1,,,,,,,,,$499
"Amazing opportunity in Oliver with this gorgeous fully renovated 2-bedroom condo unit at The Puffin! Completely refinished from top to bottom in all of the latest modern finishes. The entrance with a built in bench is spacious and welcoming. The stunning kitchen features a large island, quartz counter tops, stainless steel appliances and ample cabinets with pantry and sleek hardware. Plus, a great space for a large dining room table. The living room with vaulted ceilings is centered around the stunning fireplace and built-in cabinets. The bright den with large windows is perfect for a home office. The two bedrooms are at the end of the hall including the primary bedroom with beautiful ensuite with dual sinks and rain shower heads. Situated on a quiet street near all of the conveniences of living Downtown. Walking distance to groceries, restaurants, cafes, shopping, the River Valley and easy access to public transportation.","$365,000",2,2.00,2,"1,536",0.00,1982,Condo / Townhouse,Lowrise Apartment,Single Level Apartment,# 42 10172 118 Street Nw,Edmonton,Oliver,Puffin The,Edmonton,ALBERTA,AB,T5K 1Y4,"Laundry-In-Suite, See Remarks, Secured Parking, Security Door",,"Heated, Underground",No,No,Vinyl Plank,"Dishwasher-Built-In, Dryer, Refrigerator, Stove-Electric, Washer",Hot Water,Yes,1,No,"None, No Basement",No,"Stone, Vinyl","Playground Nearby, Public Transportation, Schools, Shopping Nearby, See Remarks, Public Swimming Pool",Wood Frame,Concrete,,,,No,No,Courtesy Of Paul Blais Of RE/MAX Elite,2,,,,"Gas, See Remarks",,,,,$690
"Welcome to Eldorado Manor in Queen May Park community... This unit offers one oversized bedroom, huge living room, dining area, spacious kitchen, 4 pc bathroom, storage room. Blocks away from Rogers place and Grant MacEwan and close to all amenities... Perfect opportunity for first time home buyers or investors...","$60,000",1,1.00,1,783,0.02,1971,Condo / Townhouse,Lowrise Apartment,Single Level Apartment,# 103 10725 111 Street Nw,Edmonton,Queen Mary Park,Eldorado Manor,Edmonton,ALBERTA,AB,T5H 3G2,See Remarks,,"On Street, Stall",No,No,Laminate Flooring,See Remarks,Baseboard,No,1,No,"No Basement, None",No,Brick,"Playground Nearby, Shopping Nearby, See Remarks",Wood Frame,Concrete,John A. McDougall School,Killarney School,Victoria School of the Art,No,Yes,Courtesy Of Deepak Chopra Of Save Max Edge,1,,,,,,,,,$481
"NO CONDO FEES! Welcome to this charming half duplex located in the highly sought-after Prince Charles neighbourhood of Edmonton. This half duplex boasts a spacious 1+2 bedroom layout (easily convertible to a 2+2), making it ideal for those who love to entertain. The main floor features a bright and airy living room that is perfect for relaxing and enjoying quality time with loved ones. The living room opens up to a beautifully updated kitchen perfect for entertaining. The main floor also includes a cozy bedroom with access to a 4pce Jack & Jill bathroom. The lower level features two additional bedrooms, both with ample closet space and a beautifully renovated 3pce bathroom. Upgrades include newer windows throughout, new 35yr shingles and fans (2017), updated plumbing/electric, sewer, water mains, hot water tank (2019), streets, sidewalks and much more!","$364,900",3,2.00,2,726,0.08,1949,Condo / Townhouse,Half Duplex,Bungalow,12410 120 Avenue Nw,Edmonton,Prince Charles,No Name,Edmonton,ALBERTA,AB,T5L 2P7,"Detectors Smoke, No Smoking Home, Secured Parking, See Remarks, Laundry-In-Suite",,Double Garage Attached,No,No,"Carpet, Ceramic Tile, Laminate Flooring","Dishwasher-Built-In, Dryer, Refrigerator, Stove-Electric, Washer",Forced Air-1,No,2,Yes,"Full, Fully Finished",No,"Brick, Vinyl","Fenced, Flat Site, Landscaped, No Back Lane, Playground Nearby, Schools, Shopping Nearby, See Remarks, Corner",Wood Frame,Concrete,,,,No,No,Courtesy Of Steven Daniele Of RE/MAX River City,1,2,18’W x 25’L,,,,,,,
"New paint, baseboards, all new vinyl plank flooring, doors, vinyl windows, brand new shingles! Lowest Price for a home with a separate entrance for Legal basement Suite Development! Perfect for the Investor or First Time Buyer. Works as Starter home or revenue property. No Condo fees. Immediate Possession! Great opportunity for Improvement Mortgage. 3 bedrooms up; full basement down. Fenced yard. Minutes to Anthony Henday and Yellowhead Trail for super quick access to anywhere in the City. Located on quiet street with back lane, just steps to Rundle Park recreation and golfing!! Backyard comes with fire pit and fenced dog run. Features 3 large bedrooms up, partly finished basement, perfect for suite development!! Steps to shopping! Spacious kitchen with and dining area. Huge bright living area featuring a wall of windows.","$188,000",3,1.00,1,888,0.00,1973,Single Family,Half Duplex,Bungalow,11510 32 Street Nw,Edmonton,Rundle Heights,,Edmonton,ALBERTA,AB,T5W 4R9,Laundry-In-Suite,,Stall,No,No,"Carpet, Laminate Flooring","Dryer, Refrigerator, Stove-Electric, Washer",Forced Air-1,No,2,Yes,"Full, Partly Finished",No,Vinyl,"Picnic Area, Playground Nearby, Public Swimming Pool",Wood Frame,Concrete,,,,No,No,Courtesy Of Marty Smayda Of RE/MAX Elite,3,,,,,,,,,
*Please note* property is sold “as is where is at time of possession”. No warranties or representations,"$78,900",2,1.00,1,719,0.02,1969,Condo / Townhouse,Lowrise Apartment,Single Level Apartment,Nw,Edmonton,Queen Mary Park,Princeton Arms,Edmonton,ALBERTA,AB,T5H 3E9,See Remarks,,See Remarks,No,No,Laminate Flooring,See Remarks,Hot Water,No,1,No,"None, No Basement",No,"Vinyl, Brick","Landscaped, Public Transportation, Schools, Shopping Nearby",Wood Frame,Concrete,,,,No,Yes,Courtesy Of Duane Ritter Of RE/MAX Real Estate,2,,,,,,,,,$395
"This wonderful condo home is in a perfect location - just below Mount Pleasant Park in the prestigious Pleasant View community. Serenity Gardens is an amazing location and this main floor home is perfect if you have a small pet! Air conditioning is just one of the benefits you'll enjoy here! Conveniently close to the elevators, you'll have Two titled underground parking stalls including one with a cage storage! A spacious foyer welcomes you home and there is newer vinyl plank flooring throughout. Kitchen, dining and great room are open to each other and include an island, granite counter tops & glass tiled backsplash. Plus there is a newer fridge! Two good sized bedrooms, including the primary with walk through closet & ensuite bath. A second full bath and the laundry room complete the floor plan. So much to love here!","$269,900",2,2.00,2,910,0.02,2010,Condo / Townhouse,Lowrise Apartment,Single Level Apartment,# 114 10530 56 Avenue Nw,Edmonton,Pleasantview,Serenity Gardens,Edmonton,ALBERTA,AB,T6H 0X7,"Patio, Air Conditioner",2,Underground,No,No,Vinyl Plank,"Dishwasher-Built-In, Dryer, Hood Fan, Refrigerator, Stove-Electric, Washer",Heat Pump,No,1,No,"None, No Basement",No,Stucco,"Schools, Shopping Nearby",Wood Frame,Concrete,,,,No,No,Courtesy Of Madeline Sarafinchan Of Jayman Realty (Edm.) Inc,2,,,,,,,,,$442
"First time buyers? Investors? This completely refreshed bungalow condo is ready and waiting for you. 3 bedrooms and new bathrooms, finished basement, Low fees, great location close to Nait, Shopping, Bussing, Schools . Easy access to Henday. Great backyard, move in ready.","$230,000",3,2.00,2,"1,044",0.08,1979,Condo / Townhouse,Half Duplex,Bungalow,13881a 114 Street Nw,Edmonton,Carlisle,Castle Heights,Edmonton,ALBERTA,AB,T5X 4A1,"No Animal Home, No Smoking Home, Vinyl Windows, See Remarks",,Front Drive Access,No,No,Vinyl Plank,"Dishwasher-Built-In, Dryer, Hood Fan, Refrigerator, Stove-Electric, Washer, Fan-Ceiling",Forced Air-1,No,2,Yes,"Full, Fully Finished",No,"Stucco, Metal","Fenced, Playground Nearby, Public Transportation, Flat Site, Fruit Trees/Shrubs, Public Swimming Pool",Wood Frame,Concrete,,,,No,No,Courtesy Of Cindi Webster Of Royal LePage Noralta Real Estate,3,,,,,,,,,$300
"BEAUTIFUL scenic views of RIVER VALLEY & Downtown Skyline. Welcome to River Grande! Fantastic location with convenience of nearby walking trails, public transportation, and short commute downtown. IMMACULATE GROUND FLOOR 2 Bedroom, 2 Bathroom condo with CENTRAL A/C. GREAT for seniors and people with mobility issues. BRIGHT open floor plan with corner gas fireplace. Master Bedroom has a 4 pc ensuite and TWO closets! Freshly painted, READY TO MOVE into! Private setting with access to ground floor COVERED PATIO off living room and master bedroom. Small dogs welcome. One underground assigned stall with storage. Enjoy all the amenities: Large exercise room, social/party room with adjoining outdoor BBQ area, car wash, and guest suite.","$299,000",2,2.00,2,"1,034",0.00,2003,Condo / Townhouse,Lowrise Apartment,Single Level Apartment,# 116 9008 99 Avenue Nw,Edmonton,Riverdale,River Grande,Edmonton,ALBERTA,AB,T5H 4M6,"Deck, Party Room, Recreation Room/Centre, Natural Gas BBQ Hookup, Air Conditioner, Car Wash, Exercise Room, Laundry-In-Suite, Patio, Social Rooms",1,Underground,No,No,"Carpet, Linoleum","Dishwasher-Built-In, Garage Opener, Microwave Hood Cover, Refrigerator, Stove-Electric, Window Coverings, Stacked Washer/Dryer, Air Conditioning-Central, Freezer",Forced Air-1,Yes,4,No,"None, No Basement",No,"Stucco, Brick","Private Setting, Public Transportation, River Valley View, Shopping Nearby, See Remarks",Wood Frame,Concrete,,,,No,No,Courtesy Of Don Cholak Of RE/MAX Professionals,2,,,,"Gas, Corner, Mantel",,,,,$445
"Charming half-duplex bungalow in the Kensington community. Great starter home is maintained throughout and ready to move-in. Open concept floorplan, features large living room and dining area. Kitchen with updated counters and newer appliances, 3 bedrooms, and updated 4-piece bathroom complete the main floor. The basement offers ample space for a growing family with a large rec room, 3-piece bathroom, plenty of storage with shelving, newer HWT and with a perfect space for a 4th bedroom. Exterior boast front porch, well-manicured backyard with maintenance free privacy fencing, a concrete patio, all newer concrete sidewalks, parking for 2 and a storage shed. Bonus: the leather furniture in the living and family rooms is included. Great family neighborhood close to all amenities; shopping, public transit and playgrounds, steps to public elementary school, and quick access to the Anthony Henday, Yellowhead Trail or downtown!","$269,888",3,2.00,2,"1,018",0.00,1967,Single Family,Half Duplex,Bungalow,13517 119 Street Nw,Edmonton,Kensington,,Edmonton,ALBERTA,AB,T5E 5M9,"Fire Pit, Porch, Patio, See Remarks",,"On Street, No Garage, Off Street, Rear Drive Access",No,No,"Laminate Flooring, Linoleum","Dryer, Hood Fan, Refrigerator, Stove-Electric, Washer, Storage Shed, Freezer",Forced Air-1,No,2,Yes,"Full, Partly Finished",Yes,"Stucco, Wood","Back Lane, Fenced, Flat Site, Low Maintenance Landscape, Playground Nearby, Public Swimming Pool, Public Transportation, Schools, Shopping Nearby, See Remarks",Wood Frame,Concrete,,,,No,No,Courtesy Of Anwar Sleiman Of Royal Lepage Arteam Realty,3,,,,,,,,,
"COUNTRY CLUB AT EAGLE POINTE. One of the most desirable gated communities in Edmonton. This 2 bedroom 3.5 bath adult bunglaow has been lovingly maintained. The spacios living room and formal dining area provides a wonderful space for enteraining and enjoying friend and family. On days you want something more casual the family room right off the kitchen and dinette area offers the perfect spot to enjoy the cozy fireplace, the views to the west deck or for more relaxed visits.This open concept space offers a large kitchen with walk in pantry, plenty of counter space and strorage and a generous size dinette for casual meals and has access to the west facing deck. Spacious and sunny private office, main floor laundry, main mudroom and access to the garage complete this level. The lower level is fully finished and features a huge recreation room, large bedroom and cheater 3 piece ensuite, a second den, huge space used for office and could be be a great space for an exercise room. Large storage area. Dbl Gar.","$650,000",2,3.00,2,"1,812",0.00,2006,Condo / Townhouse,Half Duplex,Bungalow,# 31 1225 Wanyandi Road Nw,Edmonton,Oleskiw,Eagle Point At Country Club,Edmonton,ALBERTA,AB,T6M 2W7,"Air Conditioner, Closet Organizers, Deck, Laundry-Same Floor, No Animal Home, No Smoking Home, Parking-Visitor, Skylight, Ceiling 10 ft.",,Double Garage Attached,No,No,"Carpet, Ceramic Tile, Hardwood","Dishwasher-Built-In, Dryer, Garage Control, Garage Opener, Refrigerator, Vacuum System Attachments, Washer, Window Coverings, Oven-Microwave, Stove-Countertop Electric, Vacuum Systems, Air Conditioning-Central",Forced Air-1,Yes,2,Yes,"Full, Fully Finished",No,Brick,"Flat Site, Fruit Trees/Shrubs, Golf Nearby, Landscaped, No Back Lane, Private Setting, Shopping Nearby, Gated Community, Not Fenced",Wood Frame,Concrete,,,,No,No,Courtesy Of Janice Kosak Of MaxWell Challenge Realty,1,2,6.69x6.53,1,"Gas, Mantel",,,,,$600
"A unique home is both a private retreat and a public statement. This 1720sq ft loft offers an uncommon opportunity for multi-purpose use. Zoned for both business and residential occupancy with an open floor plan, 13 ft ceilings, and a chic industrial vibe inside and out, this loft is perfectly suited for a home, business, or a blend of both. Currently used as a live-in art studio and private event space, every detail was carefully considered to optimize the user experience. The Seventh Street Lofts building was designed by adding onto the historic John Deere warehouse. This particular suite is situated on the new side, thus offering sound construction along with character as it includes functional garage doors which separate the current dining area and overlooks Rogers Arena. There is a potential to remove the windows and create outdoor patio space as well. With tandem underground parking, A/C, and extraordinary flexibility of space management, this condo offers the perfect means for self expression.","$559,900",1,1.00,1,"1,720",0.00,2005,Condo / Townhouse,Lowrise Apartment,Loft,# 144 10309 107 Nw,Edmonton,Downtown,Seventh Street Lofts,Edmonton,ALBERTA,AB,T5J 1K3,"Air Conditioner, Closet Organizers, Hot Water Natural Gas, Laundry-In-Suite, Parking-Visitor, Secured Parking, Sprinkler System-Fire, Storage-In-Suite",,Underground,No,No,Concrete,"Dishwasher-Built-In, Dryer, Hood Fan, Oven-Microwave, Refrigerator, Stove-Electric, Washer, Window Coverings",Forced Air-1,No,1,No,"None, No Basement",No,Brick,"Back Lane, Golf Nearby, Paved Lane, Playground Nearby, Public Swimming Pool, Public Transportation, Schools, Shopping Nearby, View Downtown, See Remarks",Concrete,Concrete,,,,No,No,Courtesy Of Thomas Buchanan Of Sotheby's International Realty Canada,1,,,,,,,,,$886
"Bungalow half duplex on a quiet street with a separate entrance to the finished basement, 2 kitchens, 2 bathrooms, 4 bedrooms (2 + 2) and laundry both up and downstairs. The main floor has fresh paint and recently installed tile in the kitchen and vinyl plank flooring throughout the rest. The older wood cabinets are in great shape and shine like new. The basement kitchen is newer and there is vinyl plank flooring throughout except the bedrooms. The shingles and furnace are newer and there is a fenced yard, storage shed and parking for 2 at the back plus plenty of street parking. Close to schools, transit and shopping with quick access to the Yellowhead or downtown.","$249,900",4,2.00,2,986,0.08,1971,Single Family,Half Duplex,Bungalow,12716 89 Street Nw,Edmonton,Killarney,,Edmonton,ALBERTA,AB,T5E 3J6,R.V. Storage,2,Rear Drive Access,No,No,"Carpet, Ceramic Tile, Vinyl Plank","Dryer, Fan-Ceiling, Storage Shed, Washer, Window Coverings, Refrigerators-Two, Stoves-Two, Hood Fan",Forced Air-1,No,2,Yes,"Full, Fully Finished",Yes,"Brick, Stucco","Fenced, Landscaped, Playground Nearby, Public Transportation, Schools, Shopping Nearby, Public Swimming Pool",Wood Frame,Concrete,,,,No,No,Courtesy Of Kaylie Cole Of FairSquare Group Realty,2,,,,,,,,,
"IDEAL LOCATION! Just steps away from the University of Alberta campus and hospital, grocery stores, restaurants, Whyte Avenue, LRT, and river valley. Perfect home for students or people working at the U of A. This spacious two-bedroom 1.5 bath condo features a functional kitchen with plenty of counter space and cabinetry, dining area and spacious living room with large windows which provides lots of natural light, master bedroom with 2 pcs ensuite, another generous sized bedroom and 4pc bathroom. Additional features include In-suite-laundry and a storage space. Don't miss out!","$179,000",2,2.00,1,884,0.00,1978,Condo / Townhouse,Lowrise Apartment,Single Level Apartment,# 101 8149 111 Street Nw,Edmonton,Garneau,Norfolk On Whyte,Edmonton,ALBERTA,AB,T6G 2P1,"Laundry-In-Suite, Parking-Visitor, Storage-In-Suite",,Stall,No,No,"Carpet, Ceramic Tile","Dishwasher-Built-In, Microwave Hood Cover, Refrigerator, Stacked Washer/Dryer, Stove-Electric, Window Coverings","Baseboard, Hot Water",No,1,No,"None, No Basement",No,Vinyl,"Public Transportation, Schools, Shopping Nearby, See Remarks",Wood Frame,Concrete,,,,No,No,Courtesy Of Joanne Zhang Of Homes & Gardens Real Estate Limited,2,,,1,,,,,,$629
INVESTOR ALERT! - 5 BEDROOM - QUIET NEIBORHOOD - FINNISHED BASEMENT - DOUBLE GARAGE - PRICED TO SELL! - This property is a great choice for a first time home buyer or investor. Basement is set up for a suite. (Permit will have to be applied for by the buyer to rent the suite.) With 5 bedrooms and two - 3 piece bathrooms this home utilizes every sq/ft with maximum efficiency. A separate side entrance leads to the basement stairs. Basement could use some cosmetic work. This property is a must see! Selling as is. Offering instant possession to buyers.,"$234,900",4,2.00,2,994,0.00,1963,Single Family,Half Duplex,Bungalow,12012 49 Street Nw,Edmonton,Beacon Heights,,Edmonton,ALBERTA,AB,T5W 3A4,Laundry-In-Suite,,Double Garage Detached,No,No,"Carpet, Hardwood",Appliances Negotiable,Forced Air-1,No,2,Yes,"Full, Fully Finished",No,Vinyl,No Back Lane,Wood Frame,Concrete,,,,No,No,Courtesy Of Kainen Hutlet Of Royal LePage Noralta Real Estate,3,2,,,,,,,,
"Welcome home; This executive penthouse in the heart of Oliver is located RIGHT on Victoria Promenade. Start your next chapter in Edmonton's coolest neighbourhood. Walkability? 100%! Easy access by car or transit to all the universities, hospitals & downtown offices/amenities? YES! Sporting activities? You bet! Dining out? Seconds away from some of Canada's BEST RATED eateries! What about nature? The river valley is right out front - nosh, golf, skate or ski. So many festivals year round can be arrived at in minutes. This TOP FLOOR penthouse in a newer building on Victoria Promenade. Lets talk sophisticated; Not only is this a 2 bedroom, 2 full bath condo it also has a huge loft space - perfect for a home office, second living room, hobby room. A spacious kitchen, large in suite laundry & storage as well as a corner gas fireplace. Beautiful finishings, immaculate condition & wow.. so BRIGHT & airy. The large patio faces west & shares a view of the valley. Underground parking? YES!","$419,999",2,2.00,2,"1,386",0.01,1993,Condo / Townhouse,Lowrise Apartment,Penthouse,# 500 11716 100 Avenue Nw,Edmonton,Oliver,Victoria Promenade,Edmonton,ALBERTA,AB,T5K 2G3,"Natural Gas BBQ Hookup, Closet Organizers, Detectors Smoke, Intercom, Laundry-In-Suite, Parking-Visitor, Patio, Secured Parking, Social Rooms, Sprinkler System-Fire, Storage-In-Suite, Storage-Locker Room, Vaulted Ceiling",,Underground,No,No,"Ceramic Tile, Laminate Flooring","Microwave Hood Cover, Refrigerator, Stove-Electric, Washer, Window Coverings, Dishwasher-Built-In, Dryer",Hot Water,No,2,No,"No Basement, None",No,"Brick, Stucco","Shopping Nearby, Corner, Flat Site, Golf Nearby, Low Maintenance Landscape, Playground Nearby, Public Swimming Pool, Public Transportation, River View, Schools, See Remarks",Wood Frame,Concrete,,,,No,No,Courtesy Of Christian Gannon Of RE/MAX Real Estate,2,,,,,,,,,$561
"This location is Incredible! Just perfect to Enjoy your life! Situated on a gorgeous patch of the Millcreek Ravine, this home is a Winner! Layout based on 2 bed+ 2 bath plan. Bright and open and spacious home. Both Primary bedroom and 2nd bedroom have attached ensuite bathrooms. Living room with fireplace has a loads of natural light and is spacious. Unit upgraded with new 12mm laminate flooring and shows really well. The deck is awesome with vinyl decking and looks onto the Ravine Valley and open skies and is exquisite. The streets have ample parking and bus stops in front. Seconds away from Whyte Avenue and Whitemud and University of Alberta. Shoppes and Train Transit of Bonnie Doon mall is only minutes away. There is a tandem two undergrounds parking and caged storage as well.","$295,000",2,2.00,2,"1,019",0.00,1998,Condo / Townhouse,Lowrise Apartment,Single Level Apartment,# 205 7905 96 Street Nw,Edmonton,Ritchie,Creek Side,Edmonton,ALBERTA,AB,T6C 4R3,"Deck, Laundry-In-Suite, Natural Gas BBQ Hookup",2,"Stall, Tandem, Underground",No,No,Laminate Flooring,"Air Conditioning-Central, Dishwasher-Built-In, Dryer, Hood Fan, Refrigerator, Stove-Electric, Washer",Forced Air-1,Yes,1,No,"None, No Basement",No,Stucco,Ravine View,Wood Frame,Concrete,,,,No,No,Courtesy Of Nabil John Of MaxWell Polaris,2,,,,"Gas, Glass Door",,,,,$620
